Country,trending_date,views
Japan,18.11.02,27653
Japan,18.11.02,65690
Japan,18.11.02,219090
Japan,18.11.02,4880
Japan,18.11.02,199777
Japan,18.11.02,165427
Japan,18.11.02,180561
Japan,18.11.02,59229
Japan,18.11.02,166119
Japan,18.11.02,78403
Japan,18.11.02,6654
Japan,18.11.02,328077
Japan,18.11.02,337017
Japan,18.11.02,133803
Japan,18.11.02,3257
Japan,18.11.02,10541
Japan,18.11.02,46707
Japan,18.11.02,114170
Japan,18.11.02,125628
Japan,18.11.02,13770
Japan,18.11.02,6499
Japan,18.11.02,5754
Japan,18.11.02,6241
Japan,18.11.02,27078
Japan,18.11.02,7387
Japan,18.11.02,223413
Japan,18.11.02,12844
Japan,18.11.02,1658764
Japan,18.11.02,25544
Japan,18.11.02,5821
Japan,18.11.02,1081448
Japan,18.11.02,5117
Japan,18.11.02,85147
Japan,18.11.02,12125
Japan,18.11.02,49916
Japan,18.11.02,10884
Japan,18.11.02,248263
Japan,18.11.02,525796
Japan,18.11.02,17789
Japan,18.11.02,89179
Japan,18.12.02,208658
Japan,18.12.02,127271
Japan,18.12.02,59901
Japan,18.12.02,196751
Japan,18.12.02,241373
Japan,18.12.02,93718
Japan,18.12.02,1627778
Japan,18.12.02,153786
Japan,18.12.02,115339
Japan,18.12.02,291447
Japan,18.12.02,369521
Japan,18.12.02,691847
Japan,18.12.02,23712
Japan,18.12.02,12095
Japan,18.12.02,288954
Japan,18.12.02,48009
Japan,18.12.02,15491
Japan,18.12.02,77212
Japan,18.12.02,110632
Japan,18.12.02,206134
Japan,18.12.02,1910
Japan,18.12.02,1005518
Japan,18.12.02,1724134
Japan,18.12.02,49826
Japan,18.12.02,1336798
Japan,18.12.02,451267
Japan,18.12.02,80040
Japan,18.12.02,15061
Japan,18.12.02,113796
Japan,18.12.02,3176
Japan,18.12.02,7269
Japan,18.12.02,62458
Japan,18.12.02,191821
Japan,18.12.02,56699
Japan,18.12.02,760267
Japan,18.12.02,6675
Japan,18.12.02,4115
Japan,18.12.02,15502
Japan,18.12.02,606066
Japan,18.12.02,5517
Japan,18.12.02,90033
Japan,18.12.02,5106
Japan,18.12.02,60568
Japan,18.12.02,18445
Japan,18.12.02,4772
Japan,18.12.02,5380
Japan,18.12.02,29252
Japan,18.12.02,2545
Japan,18.12.02,7054
Japan,18.12.02,5105
Japan,18.12.02,188715
Japan,18.12.02,66315
Japan,18.12.02,3576
Japan,18.12.02,3859
Japan,18.12.02,88342
Japan,18.12.02,149314
Japan,18.12.02,43589
Japan,18.12.02,878086
Japan,18.12.02,3672
Japan,18.12.02,289455
Japan,18.12.02,7916
Japan,18.12.02,33902
Japan,18.12.02,7212
Japan,18.12.02,7785
Japan,18.12.02,5846
Japan,18.12.02,89536
Japan,18.12.02,2009
Japan,18.12.02,5352
Japan,18.12.02,17509
Japan,18.12.02,6231
Japan,18.12.02,152266
Japan,18.12.02,58227
Japan,18.12.02,83011
Japan,18.12.02,181607
Japan,18.12.02,12188
